iter	Passed	Remaining
394	742	1136
395	743	1134
396	745	1132
397	747	1131
398	749	1129
399	751	1127
400	753	1125
401	755	1123
402	757	1121
403	758	1119
404	760	1117
405	762	1114
406	763	1113
407	765	1111
408	767	1108
409	769	1106
410	770	1104
411	772	1102
412	774	1100
413	776	1098
414	778	1096
415	779	1094
416	781	1092
417	783	1090
418	784	1088
419	786	1086
420	788	1084
421	790	1082
422	792	1080
423	793	1078
424	795	1076
425	797	1074
426	798	1072
427	800	1069
428	802	1067
429	803	1065
430	805	1062
431	806	1060
432	808	1058
433	810	1056
434	811	1054
435	813	1051
436	814	1049
437	816	1047
438	817	1045
439	819	1042
440	821	1041
441	823	1039
442	824	1036
443	826	1034
444	827	1032
445	829	1030
446	831	1028
447	833	1026
448	835	1024
449	836	1022
450	838	1020
451	840	1018
452	841	1016
453	843	1014
454	845	1012
455	846	1010
456	848	1008
457	850	1006
458	852	1005
459	854	1003
460	856	1001
461	858	999
462	859	997
463	861	995
464	863	993
465	864	990
466	866	988
467	867	986
468	869	984
469	871	982
470	873	980
471	875	978
472	876	976
473	878	975
474	880	973
475	882	971
476	884	969
477	886	967
478	887	965
479	889	963
480	891	961
481	893	959
482	894	957
483	896	955
484	898	953
485	899	951
486	901	949
487	903	948
488	905	946
489	908	945
490	910	943
491	912	942
492	914	940
493	916	939
494	919	938
495	922	937
496	924	935
497	927	934
498	929	933
499	931	931
500	933	929
501	935	927
502	937	926
503	939	924
504	942	924
505	944	922
506	947	920
507	949	919
508	951	917
509	953	916
510	955	914
511	958	913
512	960	911
513	962	910
514	964	908
515	967	907
516	971	907
517	975	907
518	981	909
519	985	910
520	988	908
521	990	906
522	991	904
523	993	902
524	994	900
525	996	897
526	997	895
527	999	893
528	1000	890
529	1001	888
530	1002	885
531	1003	883
532	1005	881
533	1006	878
534	1008	876
535	1009	873
536	1010	871
537	1012	869
538	1013	866
539	1014	864
540	1015	861
541	1017	859
542	1018	857
543	1019	854
544	1020	852
545	1021	849
546	1023	847
547	1024	844
548	1025	842
549	1027	840
550	1028	838
551	1029	835
552	1030	833
553	1031	830
554	1032	828
555	1033	825
556	1035	823
557	1036	820
558	1037	818
559	1038	816
560	1040	813
561	1041	811
562	1042	809
563	1044	807
564	1046	805
565	1048	804
566	1050	802
567	1052	800
568	1055	799
569	1057	797
570	1059	795
571	1061	794
572	1063	792
573	1065	790
574	1067	789
575	1070	787
576	1072	785
577	1074	784
578	1076	782
579	1078	781
580	1080	779
581	1083	778
582	1084	775
583	1087	774
584	1089	772
585	1090	770
586	1093	769
587	1095	767
588	1097	765
589	1099	764
590	1101	762
591	1104	760
592	1106	759
593	1108	757
594	1110	756
595	1112	754
596	1114	752
597	1116	750
598	1118	748
599	1121	747
600	1123	745
601	1125	744
602	1127	742
603	1130	740
604	1130	738
605	1131	735
606	1132	733
607	1133	731
608	1135	728
609	1136	726
610	1138	724
611	1139	722
612	1140	720
613	1142	718
614	1143	715
615	1144	713
616	1145	711
617	1147	709
618	1148	706
619	1149	704
620	1150	702
621	1152	700
622	1153	698
623	1154	695
624	1156	693
625	1157	691
626	1160	690
627	1162	688
628	1164	686
629	1166	684
630	1168	683
631	1170	681
632	1172	679
633	1174	678
634	1176	676
635	1178	674
636	1180	672
637	1183	671
638	1185	669
639	1187	667
640	1189	666
641	1192	664
642	1194	663
643	1196	661
644	1198	659
645	1200	658
646	1203	656
647	1205	654
648	1207	652
649	1209	651
650	1211	649
651	1213	647
652	1216	646
653	1218	644
654	1220	643
655	1222	641
656	1225	639
657	1227	637
658	1229	635
659	1231	634
660	1233	632
661	1235	630
662	1237	628
663	1239	627
664	1241	625
665	1242	623
666	1243	620
667	1245	618
668	1245	616
669	1247	614
670	1248	612
671	1249	609
672	1251	607
673	1252	605
674	1253	603
675	1255	601
676	1256	599
677	1257	597
678	1258	594
679	1259	592
680	1260	590
681	1261	588
682	1262	586
683	1264	584
684	1265	581
685	1266	579
686	1267	577
687	1270	575
688	1272	574
689	1274	572
690	1276	570
691	1279	569
692	1281	567
693	1283	565
694	1285	564
695	1287	562
696	1290	560
697	1292	559
698	1294	557
699	1296	555
700	1298	554
701	1300	552
702	1303	550
703	1305	548
704	1307	547
705	1310	545
706	1312	543
707	1314	542
708	1316	540
709	1318	538
710	1321	537
711	1323	535
712	1325	533
713	1327	531
714	1329	529
715	1331	528
716	1333	526
717	1335	524
718	1337	522
719	1338	520
720	1339	518
721	1340	516
722	1341	513
723	1342	511
724	1343	509
725	1344	507
726	1346	505
727	1347	503
728	1348	501
729	1349	498
730	1350	496
731	1351	494
732	1352	492
733	1353	490
734	1355	488
735	1356	486
736	1357	484
737	1358	482
738	1360	480
739	1361	478
740	1362	476
741	1364	474
742	1365	472
743	1366	470
744	1368	468
745	1369	466
746	1370	464
747	1372	462
748	1373	460
749	1375	458
750	1376	456
751	1377	454
752	1378	452
753	1380	450
754	1381	448
755	1383	446
756	1384	444
757	1386	442
758	1387	440
759	1388	438
760	1390	436
761	1391	434
762	1393	432
763	1394	430
764	1396	428
765	1397	426
766	1399	425
767	1400	423
768	1402	421
769	1403	419
770	1405	417
771	1406	415
772	1408	413
773	1409	411
774	1410	409
775	1412	407
776	1414	405
777	1415	404
778	1417	402
779	1419	400
780	1420	398
781	1421	396
782	1423	394
783	1425	392
784	1426	390
785	1428	388
786	1429	386
787	1431	385
788	1433	383
789	1434	381
790	1436	379
791	1438	377
792	1439	375
793	1441	373
794	1443	372
795	1444	370
796	1446	368
797	1448	366
798	1450	364
799	1451	362
800	1453	361
801	1455	359
802	1456	357
803	1458	355
804	1460	353
805	1462	351
806	1463	350
807	1465	348
808	1467	346
809	1469	344
810	1471	342
811	1472	341
812	1474	339
813	1476	337
814	1478	335
815	1480	333
816	1481	331
817	1483	330
818	1485	328
819	1487	326
820	1489	324
821	1490	322
822	1492	320
823	1494	319
824	1495	317
825	1497	315
826	1499	313
827	1500	311
828	1502	309
829	1504	308
830	1506	306
831	1508	304
832	1510	302
833	1512	300
834	1513	299
835	1515	297
836	1517	295
837	1518	293
838	1520	291
839	1522	289
840	1523	288
841	1525	286
842	1527	284
843	1528	282
844	1530	280
845	1532	278
846	1533	277
847	1535	275
848	1537	273
849	1538	271
850	1540	269
851	1542	267
852	1544	266
853	1546	264
854	1548	262
855	1549	260
856	1552	258
857	1553	257
858	1555	255
859	1557	253
860	1559	251
861	1560	249
862	1562	248
863	1564	246
864	1566	244
865	1567	242
866	1569	240
867	1571	238
868	1573	237
869	1574	235
870	1576	233
871	1578	231
872	1579	229
873	1581	228
874	1583	226
875	1585	224
876	1587	222
877	1588	220
878	1590	218
879	1591	217
880	1593	215
881	1595	213
882	1597	211
883	1599	209
884	1601	208
885	1603	206
886	1605	204
887	1607	202
888	1609	200
889	1611	199
890	1613	197
891	1615	195
892	1618	193
893	1620	192
894	1622	190
895	1624	188
896	1626	186
897	1628	185
898	1630	183
899	1633	181
900	1635	179
901	1637	177
902	1640	176
903	1641	174
904	1644	172
905	1646	170
906	1648	169
907	1650	167
908	1652	165
909	1654	163
910	1656	161
911	1659	160
912	1661	158
913	1663	156
914	1665	154
915	1667	152
916	1669	151
917	1671	149
918	1673	147
919	1676	145
920	1678	143
921	1681	142
922	1682	140
923	1684	138
924	1685	136
925	1686	134
926	1688	132
927	1689	131
928	1690	129
929	1691	127
930	1693	125
931	1694	123
932	1695	121
933	1696	119
934	1697	118
935	1699	116
936	1700	114
937	1701	112
938	1702	110
939	1703	108
940	1705	106
941	1706	105
942	1707	103
943	1708	101
944	1710	99
945	1711	97
946	1712	95
947	1714	94
948	1714	92
949	1716	90
950	1717	88
951	1718	86
952	1720	84
953	1720	82
954	1722	81
955	1723	79
956	1724	77
957	1726	75
958	1727	73
959	1728	72
960	1729	70
961	1731	68
962	1732	66
963	1733	64
964	1734	62
965	1736	61
966	1737	59
967	1739	57
968	1741	55
969	1746	54
970	1749	52
971	1751	50
972	1755	48
973	1759	46
974	1765	45
975	1770	43
976	1774	41
977	1778	40
978	1784	38
979	1790	36
980	1794	34
981	1798	32
982	1802	31
983	1806	29
984	1811	27
985	1814	25
986	1815	23
987	1817	22
988	1818	20
989	1820	18
990	1821	16
991	1823	14
992	1824	12
993	1825	11
994	1826	9
995	1828	7
996	1829	5
997	1830	3
998	1831	1
999	1833	0
